date,time,pool_id,pool_address,tvl_usd,volume_24h_usd,volume_7d_usd,apr_7d,reserve_0,reserve_1,total_share
2026-01-28,03:17:49,"d4e4c42a-c181-4ce7-93bf-5f26eff512b5",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"b20d77a9-f4b4-4284-9358-0edc4103a492",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"509d746e-c18f-4759-80fa-956c350ba793",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"237256c9-87cd-4dac-8da7-6a2944f61c6d",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"28e4bbf4-6d1e-4964-990b-aead26d539d4",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"3ee76c6e-b025-4a21-b7c6-a3c43d8fb27f",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"f841b56d-4533-46a4-8922-1e0139081018",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"02242b44-5952-4c72-8f54-a6eace8022d5",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"e9b15c26-362d-499e-ab7b-880635806be1",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"54ba2681-aae5-4075-aa72-a2f22dcbbc43",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"3019379c-8777-462f-b9c8-16a0107e2c7e",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"e3f407f0-0fd4-4ddd-a43b-2f1fb18c71e4",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"245826f7-fefa-49b9-b050-04b6e15a6acb",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"ef547de3-55fb-48d0-8b46-461d3891757c",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"1ef0056c-3211-4556-87cc-c7ed1c2cf934",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"506b459d-b5da-49cc-8f1c-a062bc95ed54",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"25a0f959-0368-4960-a829-7f1cbc1ee6d3",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"dc4905ab-afa5-4a3f-ae18-d108e40ef36a",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"1cc42332-368c-45f7-a284-40597546e05e",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"58ad41c4-13a8-4716-85c6-8bb738506091",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"4af8a4d8-1d3f-4fc6-882e-758b0a2b2609",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"91d218e3-00d1-4e3b-b7dd-62c38d18a0eb",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"4404775f-5c83-4c43-99fa-9953d385250c",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"0f09180b-709c-47dd-8da8-db69ec8f38d0",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"8d2a5240-0b56-4be6-a9b3-b29a8d0f4194",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"82951d14-6094-4e20-81f4-70fd88b97b0c",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"bb3aee9b-88e5-4c39-8021-6bec91c631f8",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"4777c09c-e670-4566-acac-8fff75372d4b",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"5598e77a-0e6d-41d0-9b24-27d9c5a03237",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"2d825b97-7cc3-4c24-896a-956b0f20a814",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"1f1b6b13-421b-4634-acd6-9399974713e9",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"b21e9cb6-4fc4-4fab-a25b-42115b2f3cca",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"41683225-f321-46e6-952c-81d14f13620e",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"f13b7ea9-4edc-4f9f-a0b0-a45678af683f",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"1b7f2a89-9206-4c1b-8b66-0ed2f2ea5400",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"fd902af6-9659-47c6-977b-183c950bd838",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"735eefba-4309-49d0-8bc9-9e0f65326e18",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"5b5aad76-92a5-4274-ae9b-22fcd2f4ab24",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"f5b1330c-c74f-4c6a-96cc-e8e0b0906f32",,0,0,0,0,0,0,0
2026-01-28,03:17:49,"1f60c9e7-49dd-4b11-a0b6-83ef2092737d",,0,0,0,0,0,0,0
